Date;Time (Local);Eyeballs;Zeroes;Completed Trips;Requests;Unique Drivers
10-Sep-12;10-Sep-2012 7:00:00;5;0;2;2;9
10-Sep-12;10-Sep-2012 8:00:00;6;0;2;2;14
10-Sep-12;10-Sep-2012 9:00:00;8;3;0;0;14
10-Sep-12;10-Sep-2012 10:00:00;9;2;0;1;14
10-Sep-12;10-Sep-2012 11:00:00;11;1;4;4;11
10-Sep-12;10-Sep-2012 12:00:00;12;0;2;2;11
10-Sep-12;10-Sep-2012 13:00:00;9;1;0;0;9
10-Sep-12;10-Sep-2012 14:00:00;12;1;0;0;9
10-Sep-12;10-Sep-2012 15:00:00;11;2;1;2;7
10-Sep-12;10-Sep-2012 16:00:00;11;2;3;4;6
10-Sep-12;10-Sep-2012 17:00:00;12;2;3;4;4
10-Sep-12;10-Sep-2012 18:00:00;11;1;3;4;7
10-Sep-12;10-Sep-2012 19:00:00;13;2;2;3;7
10-Sep-12;10-Sep-2012 20:00:00;11;1;0;0;5
10-Sep-12;10-Sep-2012 21:00:00;11;0;1;1;3
10-Sep-12;10-Sep-2012 22:00:00;16;3;0;2;4
10-Sep-12;10-Sep-2012 23:00:00;21;5;3;3;4
11-Sep-12;11-Sep-2012 0:00:00;9;3;1;1;3
11-Sep-12;11-Sep-2012 1:00:00;3;2;0;1;3
11-Sep-12;11-Sep-2012 2:00:00;1;1;0;0;1
11-Sep-12;11-Sep-2012 3:00:00;1;1;0;0;1
11-Sep-12;11-Sep-2012 4:00:00;1;1;0;0;1
11-Sep-12;11-Sep-2012 5:00:00;1;1;0;0;0
11-Sep-12;11-Sep-2012 6:00:00;7;3;2;3;3
11-Sep-12;11-Sep-2012 7:00:00;10;0;2;2;5
11-Sep-12;11-Sep-2012 8:00:00;11;2;0;0;6
11-Sep-12;11-Sep-2012 9:00:00;15;2;0;0;6
11-Sep-12;11-Sep-2012 10:00:00;12;1;1;1;8
11-Sep-12;11-Sep-2012 11:00:00;16;1;0;0;9
11-Sep-12;11-Sep-2012 12:00:00;5;1;0;0;8
11-Sep-12;11-Sep-2012 13:00:00;11;2;1;1;7
11-Sep-12;11-Sep-2012 14:00:00;19;1;1;2;5
11-Sep-12;11-Sep-2012 15:00:00;19;1;2;2;9
11-Sep-12;11-Sep-2012 16:00:00;19;3;1;1;7
11-Sep-12;11-Sep-2012 17:00:00;23;5;0;0;9
11-Sep-12;11-Sep-2012 18:00:00;21;1;7;8;11
11-Sep-12;11-Sep-2012 19:00:00;28;2;8;9;12
11-Sep-12;11-Sep-2012 20:00:00;22;2;7;7;10
11-Sep-12;11-Sep-2012 21:00:00;19;6;5;5;5
11-Sep-12;11-Sep-2012 22:00:00;26;10;2;6;2
11-Sep-12;11-Sep-2012 23:00:00;15;12;0;3;1
12-Sep-12;12-Sep-2012 0:00:00;9;2;0;1;2
12-Sep-12;12-Sep-2012 1:00:00;6;0;1;1;2
12-Sep-12;12-Sep-2012 2:00:00;3;3;0;1;0
12-Sep-12;12-Sep-2012 3:00:00;2;2;0;0;0
12-Sep-12;12-Sep-2012 4:00:00;1;1;0;0;0
12-Sep-12;12-Sep-2012 5:00:00;1;1;0;1;1
12-Sep-12;12-Sep-2012 6:00:00;7;2;3;4;3
12-Sep-12;12-Sep-2012 7:00:00;10;5;2;5;4
12-Sep-12;12-Sep-2012 8:00:00;28;2;8;8;11
12-Sep-12;12-Sep-2012 9:00:00;25;1;5;6;12
12-Sep-12;12-Sep-2012 10:00:00;25;3;3;4;15
12-Sep-12;12-Sep-2012 11:00:00;29;2;7;8;16
12-Sep-12;12-Sep-2012 12:00:00;32;2;8;8;14
12-Sep-12;12-Sep-2012 13:00:00;23;0;9;9;14
12-Sep-12;12-Sep-2012 14:00:00;25;1;5;6;15
12-Sep-12;12-Sep-2012 15:00:00;26;4;7;11;16
12-Sep-12;12-Sep-2012 16:00:00;27;4;7;7;14
12-Sep-12;12-Sep-2012 17:00:00;19;1;5;7;13
12-Sep-12;12-Sep-2012 18:00:00;24;3;4;4;12
12-Sep-12;12-Sep-2012 19:00:00;20;2;5;6;11
12-Sep-12;12-Sep-2012 20:00:00;20;2;2;3;9
12-Sep-12;12-Sep-2012 21:00:00;29;4;4;4;7
12-Sep-12;12-Sep-2012 22:00:00;18;2;4;5;7
12-Sep-12;12-Sep-2012 23:00:00;14;6;2;5;3
13-Sep-12;13-Sep-2012 0:00:00;11;11;0;2;0
13-Sep-12;13-Sep-2012 1:00:00;6;6;0;1;0
13-Sep-12;13-Sep-2012 2:00:00;5;5;0;3;0
13-Sep-12;13-Sep-2012 3:00:00;2;2;0;2;0
13-Sep-12;13-Sep-2012 4:00:00;1;1;0;0;0
13-Sep-12;13-Sep-2012 5:00:00;1;1;0;1;0
13-Sep-12;13-Sep-2012 6:00:00;4;1;2;2;2
13-Sep-12;13-Sep-2012 7:00:00;10;1;1;1;4
13-Sep-12;13-Sep-2012 8:00:00;9;1;1;1;8
13-Sep-12;13-Sep-2012 9:00:00;14;4;0;0;9
13-Sep-12;13-Sep-2012 10:00:00;15;3;2;2;10
13-Sep-12;13-Sep-2012 11:00:00;14;5;1;2;9
13-Sep-12;13-Sep-2012 12:00:00;18;3;4;5;10
13-Sep-12;13-Sep-2012 13:00:00;18;7;3;4;8
13-Sep-12;13-Sep-2012 14:00:00;12;3;0;1;10
13-Sep-12;13-Sep-2012 15:00:00;17;4;3;3;12
13-Sep-12;13-Sep-2012 16:00:00;23;1;2;3;14
13-Sep-12;13-Sep-2012 17:00:00;21;3;1;3;14
13-Sep-12;13-Sep-2012 18:00:00;21;3;3;3;11
13-Sep-12;13-Sep-2012 19:00:00;19;3;7;8;10
13-Sep-12;13-Sep-2012 20:00:00;13;0;3;3;9
13-Sep-12;13-Sep-2012 21:00:00;25;4;6;7;9
13-Sep-12;13-Sep-2012 22:00:00;25;2;2;3;7
13-Sep-12;13-Sep-2012 23:00:00;21;6;4;7;3
14-Sep-12;14-Sep-2012 0:00:00;10;1;3;4;3
14-Sep-12;14-Sep-2012 1:00:00;10;9;2;5;2
14-Sep-12;14-Sep-2012 2:00:00;5;3;1;3;1
14-Sep-12;14-Sep-2012 3:00:00;3;3;0;1;0
14-Sep-12;14-Sep-2012 4:00:00;1;1;0;1;0
14-Sep-12;14-Sep-2012 5:00:00;5;4;1;2;1
14-Sep-12;14-Sep-2012 6:00:00;7;2;2;3;4
14-Sep-12;14-Sep-2012 7:00:00;9;1;2;2;5
14-Sep-12;14-Sep-2012 8:00:00;10;1;1;1;7
14-Sep-12;14-Sep-2012 9:00:00;22;2;4;4;7
14-Sep-12;14-Sep-2012 10:00:00;11;5;1;2;10
14-Sep-12;14-Sep-2012 11:00:00;22;2;3;4;12
14-Sep-12;14-Sep-2012 12:00:00;18;2;3;4;11
14-Sep-12;14-Sep-2012 13:00:00;20;2;1;1;10
14-Sep-12;14-Sep-2012 14:00:00;23;3;1;2;7
14-Sep-12;14-Sep-2012 15:00:00;20;5;2;3;10
14-Sep-12;14-Sep-2012 16:00:00;18;3;3;4;11
14-Sep-12;14-Sep-2012 17:00:00;34;4;3;5;13
14-Sep-12;14-Sep-2012 18:00:00;40;2;8;9;14
14-Sep-12;14-Sep-2012 19:00:00;46;6;9;10;15
14-Sep-12;14-Sep-2012 20:00:00;38;4;8;9;14
14-Sep-12;14-Sep-2012 21:00:00;49;6;8;9;17
14-Sep-12;14-Sep-2012 22:00:00;60;3;18;20;19
14-Sep-12;14-Sep-2012 23:00:00;68;18;24;29;18
15-Sep-12;15-Sep-2012 0:00:00;45;2;23;24;19
15-Sep-12;15-Sep-2012 1:00:00;37;1;12;14;18
15-Sep-12;15-Sep-2012 2:00:00;38;17;22;27;12
15-Sep-12;15-Sep-2012 3:00:00;17;2;5;7;8
15-Sep-12;15-Sep-2012 4:00:00;5;1;0;0;1
15-Sep-12;15-Sep-2012 5:00:00;1;1;0;1;0
15-Sep-12;15-Sep-2012 6:00:00;3;3;0;0;0
15-Sep-12;15-Sep-2012 7:00:00;9;7;1;1;1
15-Sep-12;15-Sep-2012 8:00:00;13;10;2;3;2
15-Sep-12;15-Sep-2012 9:00:00;14;9;1;3;2
15-Sep-12;15-Sep-2012 10:00:00;20;5;2;3;2
15-Sep-12;15-Sep-2012 11:00:00;23;5;2;2;3
15-Sep-12;15-Sep-2012 12:00:00;28;11;2;2;3
15-Sep-12;15-Sep-2012 13:00:00;34;6;6;7;4
15-Sep-12;15-Sep-2012 14:00:00;34;11;6;10;6
15-Sep-12;15-Sep-2012 15:00:00;31;15;3;8;5
15-Sep-12;15-Sep-2012 16:00:00;20;3;4;5;8
15-Sep-12;15-Sep-2012 17:00:00;42;9;8;8;10
15-Sep-12;15-Sep-2012 18:00:00;59;25;15;25;10
15-Sep-12;15-Sep-2012 19:00:00;73;38;17;34;14
15-Sep-12;15-Sep-2012 20:00:00;53;15;13;20;17
15-Sep-12;15-Sep-2012 21:00:00;59;4;15;20;19
15-Sep-12;15-Sep-2012 22:00:00;69;26;24;34;16
15-Sep-12;15-Sep-2012 23:00:00;61;32;16;24;13
16-Sep-12;16-Sep-2012 0:00:00;44;2;17;20;15
16-Sep-12;16-Sep-2012 1:00:00;38;3;17;17;15
16-Sep-12;16-Sep-2012 2:00:00;29;2;13;15;12
16-Sep-12;16-Sep-2012 3:00:00;14;2;4;6;7
16-Sep-12;16-Sep-2012 4:00:00;6;6;0;3;2
16-Sep-12;16-Sep-2012 5:00:00;5;5;0;1;1
16-Sep-12;16-Sep-2012 6:00:00;3;3;0;2;0
16-Sep-12;16-Sep-2012 7:00:00;3;0;0;0;1
16-Sep-12;16-Sep-2012 8:00:00;8;2;1;2;3
16-Sep-12;16-Sep-2012 9:00:00;11;3;3;3;3
16-Sep-12;16-Sep-2012 10:00:00;20;2;1;1;4
16-Sep-12;16-Sep-2012 11:00:00;19;5;2;2;4
16-Sep-12;16-Sep-2012 12:00:00;18;3;3;4;7
16-Sep-12;16-Sep-2012 13:00:00;21;4;0;0;5
16-Sep-12;16-Sep-2012 14:00:00;23;13;4;7;5
16-Sep-12;16-Sep-2012 15:00:00;14;3;3;3;7
16-Sep-12;16-Sep-2012 16:00:00;25;5;3;3;10
16-Sep-12;16-Sep-2012 17:00:00;17;2;2;3;10
16-Sep-12;16-Sep-2012 18:00:00;18;1;3;3;10
16-Sep-12;16-Sep-2012 19:00:00;16;2;1;2;8
16-Sep-12;16-Sep-2012 20:00:00;25;10;7;10;7
16-Sep-12;16-Sep-2012 21:00:00;25;11;5;5;6
16-Sep-12;16-Sep-2012 22:00:00;13;2;2;3;4
16-Sep-12;16-Sep-2012 23:00:00;11;2;2;3;4
17-Sep-12;17-Sep-2012 0:00:00;11;5;0;2;2
17-Sep-12;17-Sep-2012 1:00:00;6;6;0;2;0
17-Sep-12;17-Sep-2012 2:00:00;3;3;0;1;0
17-Sep-12;17-Sep-2012 3:00:00;1;1;0;0;0
17-Sep-12;17-Sep-2012 4:00:00;2;1;0;1;0
17-Sep-12;17-Sep-2012 5:00:00;4;1;1;1;4
17-Sep-12;17-Sep-2012 6:00:00;7;0;4;4;5
17-Sep-12;17-Sep-2012 7:00:00;11;4;0;0;8
17-Sep-12;17-Sep-2012 8:00:00;6;1;1;1;10
17-Sep-12;17-Sep-2012 9:00:00;16;0;4;4;10
17-Sep-12;17-Sep-2012 10:00:00;21;4;1;3;10
17-Sep-12;17-Sep-2012 11:00:00;11;4;0;0;9
17-Sep-12;17-Sep-2012 12:00:00;13;1;2;2;9
17-Sep-12;17-Sep-2012 13:00:00;19;3;1;2;8
17-Sep-12;17-Sep-2012 14:00:00;19;3;0;1;8
17-Sep-12;17-Sep-2012 15:00:00;20;3;1;1;8
17-Sep-12;17-Sep-2012 16:00:00;23;7;3;5;7
17-Sep-12;17-Sep-2012 17:00:00;23;3;8;10;9
17-Sep-12;17-Sep-2012 18:00:00;35;7;8;9;12
17-Sep-12;17-Sep-2012 19:00:00;31;6;8;9;13
17-Sep-12;17-Sep-2012 20:00:00;21;2;4;4;11
17-Sep-12;17-Sep-2012 21:00:00;27;3;2;3;8
17-Sep-12;17-Sep-2012 22:00:00;18;1;6;6;8
17-Sep-12;17-Sep-2012 23:00:00;29;7;3;7;5
18-Sep-12;18-Sep-2012 0:00:00;28;18;3;13;4
18-Sep-12;18-Sep-2012 1:00:00;4;2;2;2;1
18-Sep-12;18-Sep-2012 2:00:00;9;9;0;7;0
18-Sep-12;18-Sep-2012 3:00:00;4;4;0;3;0
18-Sep-12;18-Sep-2012 4:00:00;1;1;0;0;0
18-Sep-12;18-Sep-2012 5:00:00;2;0;0;0;0
18-Sep-12;18-Sep-2012 6:00:00;2;0;0;0;3
18-Sep-12;18-Sep-2012 7:00:00;9;1;3;3;5
18-Sep-12;18-Sep-2012 8:00:00;11;1;2;2;9
18-Sep-12;18-Sep-2012 9:00:00;15;1;0;1;11
18-Sep-12;18-Sep-2012 10:00:00;16;2;0;1;9
18-Sep-12;18-Sep-2012 11:00:00;12;2;2;4;9
18-Sep-12;18-Sep-2012 12:00:00;18;2;3;3;10
18-Sep-12;18-Sep-2012 13:00:00;17;3;0;0;11
18-Sep-12;18-Sep-2012 14:00:00;20;2;1;4;7
18-Sep-12;18-Sep-2012 15:00:00;17;4;1;3;7
18-Sep-12;18-Sep-2012 16:00:00;20;5;3;3;6
18-Sep-12;18-Sep-2012 17:00:00;18;4;3;4;7
18-Sep-12;18-Sep-2012 18:00:00;17;4;1;1;9
18-Sep-12;18-Sep-2012 19:00:00;26;4;6;8;8
18-Sep-12;18-Sep-2012 20:00:00;21;3;2;5;5
18-Sep-12;18-Sep-2012 21:00:00;24;6;4;5;5
18-Sep-12;18-Sep-2012 22:00:00;17;5;5;6;4
18-Sep-12;18-Sep-2012 23:00:00;14;11;1;3;4
19-Sep-12;19-Sep-2012 0:00:00;9;1;0;0;3
19-Sep-12;19-Sep-2012 1:00:00;3;0;0;0;3
19-Sep-12;19-Sep-2012 2:00:00;3;0;2;2;1
19-Sep-12;19-Sep-2012 3:00:00;1;1;0;1;0
19-Sep-12;19-Sep-2012 4:00:00;1;1;0;0;0
19-Sep-12;19-Sep-2012 5:00:00;2;0;0;0;1
19-Sep-12;19-Sep-2012 6:00:00;7;1;2;3;5
19-Sep-12;19-Sep-2012 7:00:00;8;0;2;2;7
19-Sep-12;19-Sep-2012 8:00:00;11;1;2;2;6
19-Sep-12;19-Sep-2012 9:00:00;14;3;0;0;10
19-Sep-12;19-Sep-2012 10:00:00;12;3;0;2;12
19-Sep-12;19-Sep-2012 11:00:00;16;3;4;5;12
19-Sep-12;19-Sep-2012 12:00:00;19;3;1;1;11
19-Sep-12;19-Sep-2012 13:00:00;14;4;3;4;7
19-Sep-12;19-Sep-2012 14:00:00;9;2;1;1;8
19-Sep-12;19-Sep-2012 15:00:00;17;2;0;0;9
19-Sep-12;19-Sep-2012 16:00:00;22;5;2;4;10
19-Sep-12;19-Sep-2012 17:00:00;22;1;2;3;16
19-Sep-12;19-Sep-2012 18:00:00;28;5;3;3;13
19-Sep-12;19-Sep-2012 19:00:00;18;2;2;2;13
19-Sep-12;19-Sep-2012 20:00:00;19;1;2;2;12
19-Sep-12;19-Sep-2012 21:00:00;25;2;2;5;10
19-Sep-12;19-Sep-2012 22:00:00;23;3;9;10;9
19-Sep-12;19-Sep-2012 23:00:00;16;2;2;2;8
20-Sep-12;20-Sep-2012 0:00:00;10;4;2;3;4
20-Sep-12;20-Sep-2012 1:00:00;1;0;0;1;1
20-Sep-12;20-Sep-2012 2:00:00;2;2;0;1;0
20-Sep-12;20-Sep-2012 3:00:00;2;2;0;2;0
20-Sep-12;20-Sep-2012 4:00:00;2;2;0;0;0
20-Sep-12;20-Sep-2012 5:00:00;1;1;0;0;0
20-Sep-12;20-Sep-2012 6:00:00;3;1;1;1;2
20-Sep-12;20-Sep-2012 7:00:00;5;2;2;2;4
20-Sep-12;20-Sep-2012 8:00:00;7;1;1;2;6
20-Sep-12;20-Sep-2012 9:00:00;11;2;1;2;7
20-Sep-12;20-Sep-2012 10:00:00;16;2;2;2;9
20-Sep-12;20-Sep-2012 11:00:00;15;3;2;3;12
20-Sep-12;20-Sep-2012 12:00:00;16;2;3;3;12
20-Sep-12;20-Sep-2012 13:00:00;15;2;0;0;11
20-Sep-12;20-Sep-2012 14:00:00;19;4;1;2;11
20-Sep-12;20-Sep-2012 15:00:00;18;5;2;3;12
20-Sep-12;20-Sep-2012 16:00:00;21;2;4;5;9
20-Sep-12;20-Sep-2012 17:00:00;37;4;5;9;8
20-Sep-12;20-Sep-2012 18:00:00;26;5;3;4;11
20-Sep-12;20-Sep-2012 19:00:00;36;7;14;16;13
20-Sep-12;20-Sep-2012 20:00:00;26;3;4;6;11
20-Sep-12;20-Sep-2012 21:00:00;30;5;6;8;13
20-Sep-12;20-Sep-2012 22:00:00;40;7;12;15;13
20-Sep-12;20-Sep-2012 23:00:00;16;0;5;5;10
21-Sep-12;21-Sep-2012 0:00:00;22;1;10;11;9
21-Sep-12;21-Sep-2012 1:00:00;9;1;5;5;7
21-Sep-12;21-Sep-2012 2:00:00;5;0;1;2;5
21-Sep-12;21-Sep-2012 3:00:00;3;3;0;0;0
21-Sep-12;21-Sep-2012 4:00:00;0;0;0;0;0
21-Sep-12;21-Sep-2012 5:00:00;1;1;0;0;0
21-Sep-12;21-Sep-2012 6:00:00;6;3;0;2;2
21-Sep-12;21-Sep-2012 7:00:00;7;3;0;0;4
21-Sep-12;21-Sep-2012 8:00:00;3;0;0;0;6
21-Sep-12;21-Sep-2012 9:00:00;8;0;1;1;7
21-Sep-12;21-Sep-2012 10:00:00;17;4;0;1;8
21-Sep-12;21-Sep-2012 11:00:00;23;5;1;1;10
21-Sep-12;21-Sep-2012 12:00:00;22;3;1;1;9
21-Sep-12;21-Sep-2012 13:00:00;34;4;5;7;9
21-Sep-12;21-Sep-2012 14:00:00;35;5;9;10;12
21-Sep-12;21-Sep-2012 15:00:00;30;3;4;7;12
21-Sep-12;21-Sep-2012 16:00:00;49;4;11;12;15
21-Sep-12;21-Sep-2012 17:00:00;68;25;26;26;20
21-Sep-12;21-Sep-2012 18:00:00;62;6;15;22;26
21-Sep-12;21-Sep-2012 19:00:00;47;3;16;19;30
21-Sep-12;21-Sep-2012 20:00:00;63;8;14;21;28
21-Sep-12;21-Sep-2012 21:00:00;59;8;12;17;27
21-Sep-12;21-Sep-2012 22:00:00;73;4;23;29;26
21-Sep-12;21-Sep-2012 23:00:00;94;30;36;46;26
22-Sep-12;22-Sep-2012 0:00:00;62;4;19;27;27
22-Sep-12;22-Sep-2012 1:00:00;39;5;17;24;24
22-Sep-12;22-Sep-2012 2:00:00;30;0;9;18;12
22-Sep-12;22-Sep-2012 3:00:00;11;3;3;3;8
22-Sep-12;22-Sep-2012 4:00:00;6;4;2;3;1
22-Sep-12;22-Sep-2012 5:00:00;5;4;1;2;0
22-Sep-12;22-Sep-2012 6:00:00;5;5;0;1;0
22-Sep-12;22-Sep-2012 7:00:00;8;3;0;0;1
22-Sep-12;22-Sep-2012 8:00:00;15;5;3;5;3
22-Sep-12;22-Sep-2012 9:00:00;15;5;1;1;6
22-Sep-12;22-Sep-2012 10:00:00;30;7;3;3;9
22-Sep-12;22-Sep-2012 11:00:00;33;6;5;7;9
22-Sep-12;22-Sep-2012 12:00:00;34;5;12;14;9
22-Sep-12;22-Sep-2012 13:00:00;61;25;12;17;10
22-Sep-12;22-Sep-2012 14:00:00;62;10;16;21;15
22-Sep-12;22-Sep-2012 15:00:00;75;15;18;23;16
22-Sep-12;22-Sep-2012 16:00:00;58;17;15;18;16
22-Sep-12;22-Sep-2012 17:00:00;41;2;8;10;20
22-Sep-12;22-Sep-2012 18:00:00;49;7;11;13;16
22-Sep-12;22-Sep-2012 19:00:00;43;10;21;24;15
22-Sep-12;22-Sep-2012 20:00:00;49;4;7;14;18
22-Sep-12;22-Sep-2012 21:00:00;53;3;15;19;21
22-Sep-12;22-Sep-2012 22:00:00;77;11;25;33;19
22-Sep-12;22-Sep-2012 23:00:00;99;59;25;44;17
23-Sep-12;23-Sep-2012 0:00:00;62;25;23;32;18
23-Sep-12;23-Sep-2012 1:00:00;38;1;15;23;18
23-Sep-12;23-Sep-2012 2:00:00;34;4;13;18;18
23-Sep-12;23-Sep-2012 3:00:00;19;1;9;9;16
23-Sep-12;23-Sep-2012 4:00:00;1;0;0;1;4
23-Sep-12;23-Sep-2012 5:00:00;9;9;0;4;0
23-Sep-12;23-Sep-2012 6:00:00;8;7;1;1;1
23-Sep-12;23-Sep-2012 7:00:00;7;3;2;2;2
23-Sep-12;23-Sep-2012 8:00:00;13;3;0;0;4
23-Sep-12;23-Sep-2012 9:00:00;14;4;0;1;6
23-Sep-12;23-Sep-2012 10:00:00;19;3;2;2;9
23-Sep-12;23-Sep-2012 11:00:00;20;3;3;5;8
23-Sep-12;23-Sep-2012 12:00:00;25;3;2;4;8
23-Sep-12;23-Sep-2012 13:00:00;15;4;3;3;9
23-Sep-12;23-Sep-2012 14:00:00;20;2;4;4;7
23-Sep-12;23-Sep-2012 15:00:00;22;4;0;2;9
23-Sep-12;23-Sep-2012 16:00:00;22;0;7;8;11
23-Sep-12;23-Sep-2012 17:00:00;31;9;4;6;12
23-Sep-12;23-Sep-2012 18:00:00;36;4;8;11;12
23-Sep-12;23-Sep-2012 19:00:00;32;9;4;6;11
23-Sep-12;23-Sep-2012 20:00:00;29;6;3;3;7
23-Sep-12;23-Sep-2012 21:00:00;24;6;3;4;5
23-Sep-12;23-Sep-2012 22:00:00;17;2;2;2;6
23-Sep-12;23-Sep-2012 23:00:00;9;3;3;3;3
24-Sep-12;24-Sep-2012 0:00:00;7;2;1;2;2
24-Sep-12;24-Sep-2012 1:00:00;7;7;0;0;0
24-Sep-12;24-Sep-2012 2:00:00;3;3;0;2;0
24-Sep-12;24-Sep-2012 3:00:00;3;3;0;1;0
24-Sep-12;24-Sep-2012 4:00:00;1;1;0;0;0
24-Sep-12;24-Sep-2012 5:00:00;4;2;1;1;3
24-Sep-12;24-Sep-2012 6:00:00;9;1;2;2;7
